Arka Tea Traders Pvt Ltd
Account Transactions
HDFC Current Account
Basis: Accrual
From 01/01/2026 To 31/03/2026

Date,Account,Transaction Details,Transaction Type,Transaction#,Reference#,Debit,Credit,Balance
01/01/2026,HDFC Current Account,Opening Balance,,,,,,"240,000.00 Dr"
04/01/2026,HDFC Current Account,Spice Garden Restaurants - NEFT receipt,Customer Payment,CP-2026/001,CP-2026/001,"85,400.00",,"325,400.00 Dr"
05/01/2026,HDFC Current Account,Office Rent - Ravi Menon (SI),Journal,J-2026/011,J-2026/011,,"45,000.00","280,400.00 Dr"
07/01/2026,HDFC Current Account,Nilgiris Tea Estate Pvt Ltd - RTGS,Vendor Payment,VP-2026/002,VP-2026/002,,"185,000.00","95,400.00 Dr"
10/01/2026,HDFC Current Account,Hill View Resorts Pvt Ltd - NEFT receipt,Customer Payment,CP-2026/003,CP-2026/003,"68,500.00",,"163,900.00 Dr"
11/01/2026,HDFC Current Account,Mahadev Provisions - Cheque deposit,Customer Payment,CP-2026/004,CP-2026/004,"42,600.00",,"206,500.00 Dr"
14/01/2026,HDFC Current Account,Packaging Solutions India Pvt Ltd - NEFT,Vendor Payment,VP-2026/005,VP-2026/005,,"32,400.00","174,100.00 Dr"
15/01/2026,HDFC Current Account,KSEB - Electricity Bill (Dec),Vendor Payment,VP-2026/006,VP-2026/006,,"8,240.00","165,860.00 Dr"
18/01/2026,HDFC Current Account,Coastal Hospitality Ltd - NEFT receipt,Customer Payment,CP-2026/007,CP-2026/007,"128,750.00",,"294,610.00 Dr"
20/01/2026,HDFC Current Account,ACT Fibernet - Internet & Phone,Vendor Payment,VP-2026/008,VP-2026/008,,"4,500.00","290,110.00 Dr"
20/01/2026,HDFC Current Account,GST Payment - December 2025,Journal,J-2026/015,J-2026/015,,"47,500.00","242,610.00 Dr"
21/01/2026,HDFC Current Account,ACT Fibernet - Internet & Phone,Vendor Payment,VP-2026/009,VP-2026/009,,"4,500.00","238,110.00 Dr"
22/01/2026,HDFC Current Account,Royal Freight Logistics - Cheque,Vendor Payment,VP-2026/010,VP-2026/010,,"28,700.00","209,410.00 Dr"
24/01/2026,HDFC Current Account,Blue Lotus Cafe - UPI receipt,Customer Payment,CP-2026/011,CP-2026/011,"19,400.00",,"228,810.00 Dr"
29/01/2026,HDFC Current Account,Retail Bazaar Chennai - UPI,Customer Payment,CP-2026/012,CP-2026/012,"18,900.00",,"247,710.00 Dr"
03/02/2026,HDFC Current Account,Nilgiris Tea Estate Pvt Ltd - RTGS,Vendor Payment,VP-2026/014,VP-2026/014,,"205,000.00","42,710.00 Dr"
06/02/2026,HDFC Current Account,Green Leaf Cafe - NEFT receipt,Customer Payment,CP-2026/015,CP-2026/015,"35,200.00",,"77,910.00 Dr"
08/02/2026,HDFC Current Account,Hill View Resorts Pvt Ltd - NEFT receipt,Customer Payment,CP-2026/016,CP-2026/016,"72,800.00",,"150,710.00 Dr"
